episode	epsilon	score	bonus	straight	full	low	high	yum
650000	1	56.39	0.22	0.0	0.0	0.0	0.0	0.0
655000	1	56.14	0.2	0.0	0.0	0.0	0.0	0.0
660000	1	55.59	0.28	0.0	0.0	0.0	0.0	0.0
665000	1	55.48	0.24	0.0	0.0	0.0	0.0	0.0
670000	1	54.6	0.22	0.0	0.0	0.0	0.0	0.0
675000	1	55.16	0.22	0.0	0.0	0.0	0.0	0.0
680000	1	55.71	0.24	0.0	0.0	0.0	0.0	0.0
685000	1	53.93	0.23	0.0	0.0	0.0	0.0	0.0
690000	1	54.7	0.21	0.0	0.0	0.0	0.0	0.0
695000	1	54.46	0.23	0.0	0.0	0.0	0.0	0.0
700000	1	56.49	0.26	0.0	0.0	0.0	0.0	0.0
705000	1	54.87	0.23	0.0	0.0	0.0	0.0	0.0
710000	1	56.36	0.23	0.0	0.0	0.0	0.0	0.0
715000	1	54.0	0.21	0.0	0.0	0.0	0.0	0.0
720000	1	54.68	0.19	0.0	0.0	0.0	0.0	0.0
725000	1	53.14	0.18	0.0	0.0	0.0	0.0	0.0
730000	1	56.04	0.28	0.0	0.0	0.0	0.0	0.0
735000	1	53.76	0.2	0.0	0.0	0.0	0.0	0.0
740000	1	56.51	0.33	0.0	0.0	0.0	0.0	0.0
745000	1	55.08	0.23	0.0	0.0	0.0	0.0	0.0
750000	1	54.82	0.26	0.0	0.0	0.0	0.0	0.0
755000	1	53.31	0.15	0.0	0.0	0.0	0.0	0.0
760000	1	55.01	0.26	0.0	0.0	0.0	0.0	0.0
765000	1	53.75	0.21	0.0	0.0	0.0	0.0	0.0
770000	1	58.46	0.36	0.0	0.0	0.0	0.0	0.0
775000	1	55.56	0.23	0.0	0.0	0.0	0.0	0.0
780000	1	53.76	0.19	0.0	0.0	0.0	0.0	0.0
785000	1	55.63	0.26	0.0	0.0	0.0	0.0	0.0
790000	1	54.92	0.15	0.0	0.0	0.0	0.0	0.0
795000	1	55.41	0.25	0.0	0.0	0.0	0.0	0.0
800000	1	55.25	0.29	0.0	0.0	0.0	0.0	0.0
805000	1	53.99	0.2	0.0	0.0	0.0	0.0	0.0
810000	1	55.88	0.28	0.0	0.0	0.0	0.0	0.0
815000	1	56.49	0.28	0.0	0.0	0.0	0.0	0.0
820000	1	55.69	0.27	0.0	0.0	0.0	0.0	0.0
825000	1	55.34	0.21	0.0	0.0	0.0	0.0	0.0
830000	1	54.99	0.28	0.0	0.0	0.0	0.0	0.0
835000	1	55.59	0.27	0.0	0.0	0.0	0.0	0.0
840000	1	53.91	0.22	0.0	0.0	0.0	0.0	0.0
845000	1	55.99	0.29	0.0	0.0	0.0	0.0	0.0
850000	1	53.91	0.21	0.0	0.0	0.0	0.0	0.0
855000	1	55.36	0.28	0.0	0.0	0.0	0.0	0.0
860000	1	55.19	0.21	0.0	0.0	0.0	0.0	0.0
865000	1	55.4	0.19	0.0	0.0	0.0	0.0	0.0
870000	1	54.27	0.18	0.0	0.0	0.0	0.0	0.0
875000	1	55.79	0.29	0.0	0.0	0.0	0.0	0.0
880000	1	56.7	0.26	0.0	0.0	0.0	0.0	0.0
885000	1	56.95	0.3	0.0	0.0	0.0	0.0	0.0
890000	1	55.48	0.23	0.0	0.0	0.0	0.0	0.0
895000	1	55.68	0.26	0.0	0.0	0.0	0.0	0.0
900000	1	54.78	0.24	0.0	0.0	0.0	0.0	0.0
905000	1	55.39	0.24	0.0	0.0	0.0	0.0	0.0
910000	1	55.1	0.27	0.0	0.0	0.0	0.0	0.0
915000	1	57.07	0.27	0.0	0.0	0.0	0.0	0.0
920000	1	56.4	0.27	0.0	0.0	0.0	0.0	0.0
925000	1	56.04	0.24	0.0	0.0	0.0	0.0	0.0
930000	1	54.89	0.23	0.0	0.0	0.0	0.0	0.0
935000	1	53.9	0.17	0.0	0.0	0.0	0.0	0.0
940000	1	54.19	0.23	0.0	0.0	0.0	0.0	0.0
945000	1	54.12	0.25	0.0	0.0	0.0	0.0	0.0
950000	1	56.14	0.29	0.0	0.0	0.0	0.0	0.0
955000	1	55.66	0.32	0.0	0.0	0.0	0.0	0.0
960000	1	55.24	0.27	0.0	0.0	0.0	0.0	0.0
965000	1	55.93	0.29	0.0	0.0	0.0	0.0	0.0
970000	1	56.67	0.27	0.0	0.0	0.0	0.0	0.0
975000	1	54.25	0.22	0.0	0.0	0.0	0.0	0.0
980000	1	54.99	0.22	0.0	0.0	0.0	0.0	0.0
985000	1	56.2	0.31	0.0	0.0	0.0	0.0	0.0
990000	1	55.23	0.21	0.0	0.0	0.0	0.0	0.0
995000	1	55.29	0.24	0.0	0.0	0.0	0.0	0.0
1000000	1	54.22	0.19	0.0	0.0	0.0	0.0	0.0
1005000	1	55.14	0.27	0.0	0.0	0.0	0.0	0.0
1010000	1	55.63	0.24	0.0	0.0	0.0	0.0	0.0
1015000	1	54.28	0.24	0.0	0.0	0.0	0.0	0.0
1020000	1	56.28	0.28	0.0	0.0	0.0	0.0	0.0
1025000	1	57.94	0.38	0.0	0.0	0.0	0.0	0.0
1030000	1	53.91	0.3	0.0	0.0	0.0	0.0	0.0
1035000	1	55.86	0.27	0.0	0.0	0.0	0.0	0.0
1040000	1	54.18	0.2	0.0	0.0	0.0	0.0	0.0
1045000	1	54.97	0.26	0.0	0.0	0.0	0.0	0.0
1050000	1	54.52	0.23	0.0	0.0	0.0	0.0	0.0
1055000	1	54.11	0.25	0.0	0.0	0.0	0.0	0.0
1060000	1	54.42	0.22	0.0	0.0	0.0	0.0	0.0
1065000	1	55.55	0.27	0.0	0.0	0.0	0.0	0.0
1070000	1	54.9	0.25	0.0	0.0	0.0	0.0	0.0
1075000	1	55.34	0.23	0.0	0.0	0.0	0.0	0.0
1080000	1	54.84	0.24	0.0	0.0	0.0	0.0	0.0
1085000	1	54.09	0.24	0.0	0.0	0.0	0.0	0.0
1090000	1	55.29	0.25	0.0	0.0	0.0	0.0	0.0
1095000	1	55.71	0.31	0.0	0.0	0.0	0.0	0.0
1100000	1	57.02	0.3	0.0	0.0	0.0	0.0	0.0
1105000	1	54.33	0.21	0.0	0.0	0.0	0.0	0.0
1110000	1	55.15	0.2	0.0	0.0	0.0	0.0	0.0
1115000	1	54.68	0.25	0.0	0.0	0.0	0.0	0.0
1120000	1	55.03	0.26	0.0	0.0	0.0	0.0	0.0
1125000	1	53.99	0.19	0.0	0.0	0.0	0.0	0.0
1130000	1	56.16	0.27	0.0	0.0	0.0	0.0	0.0
1135000	1	54.72	0.24	0.0	0.0	0.0	0.0	0.0
1140000	1	53.82	0.19	0.0	0.0	0.0	0.0	0.0
1145000	1	53.92	0.19	0.0	0.0	0.0	0.0	0.0
1150000	1	53.71	0.19	0.0	0.0	0.0	0.0	0.0
1155000	1	54.98	0.22	0.0	0.0	0.0	0.0	0.0
1160000	1	53.17	0.17	0.0	0.0	0.0	0.0	0.0
1165000	1	54.14	0.22	0.0	0.0	0.0	0.0	0.0
1170000	1	55.2	0.22	0.0	0.0	0.0	0.0	0.0
1175000	1	56.81	0.24	0.0	0.0	0.0	0.0	0.0
1180000	1	56.54	0.33	0.0	0.0	0.0	0.0	0.0
1185000	1	55.4	0.26	0.0	0.0	0.0	0.0	0.0
1190000	1	54.86	0.28	0.0	0.0	0.0	0.0	0.0
1195000	1	54.88	0.24	0.0	0.0	0.0	0.0	0.0
1200000	1	54.7	0.2	0.0	0.0	0.0	0.0	0.0
1205000	1	56.81	0.23	0.0	0.0	0.0	0.0	0.0
1210000	1	55.42	0.24	0.0	0.0	0.0	0.0	0.0
1215000	1	55.14	0.26	0.0	0.0	0.0	0.0	0.0
1220000	1	56.17	0.33	0.0	0.0	0.0	0.0	0.0
1225000	1	54.3	0.26	0.0	0.0	0.0	0.0	0.0
1230000	1	54.91	0.26	0.0	0.0	0.0	0.0	0.0
1235000	1	54.92	0.29	0.0	0.0	0.0	0.0	0.0
1240000	1	54.96	0.2	0.0	0.0	0.0	0.0	0.0
